model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,51.8133,48.1867,80.4133,19.5867,87.77,0.9,bicubic
regnety_120.sw_in12k_ft_in1k,288,51.8,48.2,80.6533,19.3467,51.82,1.0,bicubic
efficientvit_l3.r224_in1k,224,51.72,48.28,79.08,20.92,246.04,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,288,51.5467,48.4533,81.3333,18.6667,50.22,1.0,bicubic
dm_nfnet_f6.dm_in1k,448,51.5333,48.4667,76.5333,23.4667,438.36,0.956,bicubic
efficientvit_l2.r288_in1k,288,51.36,48.64,79.9733,20.0267,63.71,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,51.36,48.64,79.92,20.08,75.26,0.965,bicubic
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,224,51.1733,48.8267,78.2533,21.7467,88.79,0.875,bilinear
eva02_small_patch14_336.mim_in22k_ft_in1k,336,51.0667,48.9333,79.0133,20.9867,22.13,1.0,bicubic
tf_efficientnet_b4.ns_jft_in1k,380,51.04,48.96,79.0667,20.9333,19.34,0.922,bicubic
efficientnet_b5.sw_in12k_ft_in1k,448,51.0133,48.9867,78.6667,21.3333,30.39,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,50.92,49.08,79.28,20.72,75.26,0.965,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,384,50.92,49.08,78.52,21.48,54.14,1.0,bicubic
flexivit_large.1200ep_in1k,240,50.84,49.16,80.56,19.44,304.36,0.95,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,50.7467,49.2533,79.8933,20.1067,86.53,0.9,bicubic
mvitv2_large.fb_in1k,224,50.64,49.36,78.0667,21.9333,217.99,0.9,bicubic
xcit_small_12_p8_384.fb_dist_in1k,384,50.5467,49.4533,79.64,20.36,26.21,1.0,bicubic
beit3_base_patch16_224.indomain_in22k_ft_in1k,224,50.3867,49.6133,79.7467,20.2533,86.66,1.0,bicubic
efficientnet_x_b5.sw_r448_e450_in1k,576,50.3333,49.6667,78.6267,21.3733,33.44,1.0,bicubic
dm_nfnet_f4.dm_in1k,384,50.2933,49.7067,76.0667,23.9333,316.07,0.951,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,50.24,49.76,78.2,21.8,86.57,0.95,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,50.2,49.8,77.44,22.56,86.57,0.95,bicubic
tf_efficientnetv2_l.in1k,480,50.1733,49.8267,77.56,22.44,118.52,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k_384,384,50.16,49.84,81.0533,18.9467,26.77,1.0,bicubic
convnext_tiny.in12k_ft_in1k_384,384,50.12,49.88,79.7333,20.2667,28.59,1.0,bicubic
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k_384,384,50.08,49.92,77.7067,22.2933,236.34,1.0,bicubic
convformer_s36.sail_in1k_384,384,50.08,49.92,78.9067,21.0933,40.01,1.0,bicubic
